symbol,companyName,marketCap,volume,sector,industry,exchangeShortName,exchange
CRWD,"CrowdStrike Holdings, Inc.",90364676187,2600693,Technology,Software - Infrastructure,NASDAQ,NASDAQ Global Select
SCCO,Southern Copper Corporation,89989286400,748682,Basic Materials,Copper,NYSE,New York Stock Exchange
FI,"Fiserv, Inc.",89637626400,2433536,Technology,Information Technology Services,NYSE,New York Stock Exchange
MELI,"MercadoLibre, Inc.",89289274828,334823,Consumer Cyclical,Specialty Retail,NASDAQ,NASDAQ Global Select
SMFG,"Sumitomo Mitsui Financial Group, Inc.",88496749966,684718,Financial Services,Banks - Diversified,NYSE,New York Stock Exchange
MDLZ,"Mondelez International, Inc.",87671289600,8319403,Consumer Defensive,Food Confectioners,NASDAQ,NASDAQ Global Select
SO,The Southern Company,87463465700,3460266,Utilities,Regulated Electric,NYSE,New York Stock Exchange
GILD,"Gilead Sciences, Inc.",87159666000,4365480,Healthcare,Drug Manufacturers - General,NASDAQ,NASDAQ Global Select
RELX,RELX PLC,86380335790,639872,Communication Services,Publishing,NYSE,New York Stock Exchange
CDNS,"Cadence Design Systems, Inc.",85995768410,1093391,Technology,Software - Application,NASDAQ,NASDAQ Global Select
WM,"Waste Management, Inc.",85731491250,1150713,Industrials,Waste Management,NYSE,New York Stock Exchange
ICE,"Intercontinental Exchange, Inc.",85120014000,3644478,Financial Services,Financial - Data & Stock Exchanges,NYSE,New York Stock Exchange
HCA,"HCA Healthcare, Inc.",84943948480,1208529,Healthcare,Medical - Care Facilities,NYSE,New York Stock Exchange
SBUX,Starbucks Corporation,84759941000,10422070,Consumer Cyclical,Restaurants,NASDAQ,NASDAQ Global Select
INFY,Infosys Limited,84701411980,10574682,Technology,Information Technology Services,NYSE,New York Stock Exchange
APH,Amphenol Corporation,83916530600,3650644,Technology,"Hardware, Equipment & Parts",NYSE,New York Stock Exchange
SHOP,Shopify Inc.,83622883986,7567149,Technology,Software - Application,NYSE,New York Stock Exchange
BMY,Bristol-Myers Squibb Company,82016466000,15081044,Healthcare,Drug Manufacturers - General,NYSE,New York Stock Exchange
MO,"Altria Group, Inc.",81982479900,7134054,Consumer Defensive,Tobacco,NYSE,New York Stock Exchange
ZTS,Zoetis Inc.,81695056800,1258157,Healthcare,Drug Manufacturers - Specialty & Generic,NYSE,New York Stock Exchange
MCO,Moody's Corporation,81435948000,784920,Financial Services,Financial - Data & Stock Exchanges,NYSE,New York Stock Exchange
DUK,Duke Energy Corporation,81336734910,2572889,Utilities,Regulated Electric,NYSE,New York Stock Exchange
