TKR,NAME,CAP,PRC,TGT,UP%,#T,%B,#A,AM,A,EXR,B,52W,2H,PET,PEF,P/S,PEG,DV,SI,EG,PP,ROE,DE,FCF,ERN,SZ,BS,SIGNAL_TRACK,SIGNAL_HORIZON
NJR,NEW JERSEY RES,5.48B,54.00,60.00,11.1%,8.0,--,1.0,-1,E,0.0,0.5,89,Y,15.0,15.6,0.8,2.3,3.56%,4.9%,-35.7,--,14.5,146.8,-4.7%,06/30,5k,I,--,30
CNX,CNX RESOURCES ,5.48B,37.03,37.73,1.9%,12.0,--,1.0,0,E,0.0,0.6,85,N,6.0,9.5,0.5,--,--,14.0%,0.4,--,21.2,49.1,8.0%,06/30,5k,I,--,30
AX,AXOS FINANCIAL,5.47B,96.50,119.14,23.5%,7.0,75%,4.0,+1,E,17.6%,1.2,91,Y,11.4,8.9,0.6,--,--,7.5%,11.2,--,16.8,--,--,06/30,6.5k,H,value,90
HER.MI,HERA S.P.A.,5.47B,3.71,4.54,22.4%,5.0,60%,5.0,0,A,13.4%,0.8,83,N,11.6,11.2,0.6,--,4.31%,--,23.7,--,12.1,133.3,0.3%,06/30,6k,H,value,90
PIPR,PIPER SANDLER ,5.47B,77.34,87.12,12.7%,5.0,60%,5.0,--,A,7.6%,1.4,81,N,17.9,14.0,0.9,--,1.04%,4.7%,12.6,--,24.5,11.3,--,06/30,5.5k,H,value,90
MORG.OL,SPAREBANKEN MØ,5.46B,110.18,120.00,8.9%,3,33%,3,0,A,2.9%,0.2,89,N,5.6,11.3,0.7,--,6.31%,--,13.2,--,11.6,--,--,06/30,5k,I,--,30
BC.MI,BRUNELLO CUCIN,5.46B,80.30,100.37,25.0%,18,61%,18,0,A,15.2%,0.9,75,N,0.0,30.6,1.2,2.6,1.29%,--,--,--,26.8,217.1,3.1%,07/30,6.5k,H,value,90
UPRO,PROSHARES ULTR,5.45B,149.30,--,--,--,--,--,--,,--,--,94,Y,24.6,--,--,--,0.72%,--,--,--,--,--,--,--,5k,I,--,30
IEML.L,ISHARES J.P. M,5.44B,46.47,--,--,--,--,--,--,,--,--,93,N,1.4,--,--,--,5.62%,--,--,--,--,--,--,--,5k,I,--,30
BCPC,BALCHEM CORPOR,5.44B,170.56,209.25,22.7%,3,100%,1,0,E,22.7%,0.8,93,Y,33.6,27.2,1.1,3.3,0.56%,2.6%,5.2,--,12.8,12.8,2.5%,06/30,7k,I,--,30
IUSP.DE,ISHARES J.P. M,5.44B,39.96,--,--,--,--,--,--,,--,--,97,N,--,--,--,--,--,--,--,--,--,--,--,--,5k,I,--,30
GLB.L,GLANBIA PLC,5.44B,22.10,--,--,--,--,--,--,,--,0.5,86,Y,26.3,22.3,0.9,--,2.02%,--,--,--,12.0,63.7,6.1%,08/06,5k,I,--,30
COV.PA,COVIVIO,5.43B,49.02,61.45,25.4%,8.0,50%,8.0,0,A,12.7%,1.1,78,N,8.3,9.6,0.3,--,7.69%,--,--,--,8.5,83.1,-0.1%,--,6k,H,value,90
IS3R.DE,ISHARES EDGE M,5.43B,101.36,--,--,--,--,--,--,,--,--,92,Y,--,--,--,--,--,--,--,--,--,--,--,--,5k,I,--,30
EVD.DE,CTS EVENTIM AG,5.43B,56.55,87.46,54.7%,12,91%,12,+1,A,49.7%,1.2,63,N,17.6,15.4,1.0,--,2.52%,--,-5.2,--,29.8,10.0,2.6%,06/30,7.5k,H,value,90
DCC.L,DCC ENERGY PLC,5.42B,6350.00,6353.12,0.0%,8.0,37%,8.0,-2,A,0.0%,0.7,94,Y,22.0,11.8,0.7,--,3.43%,--,--,--,10.4,98.4,24.1%,--,5k,S,value,90
KRG,KITE REALTY GR,5.42B,26.08,30.90,18.5%,12.0,43%,7.0,-1,E,7.9%,0.8,87,Y,16.3,61.6,2.0,--,4.47%,9.3%,1095.3,--,10.7,96.2,2.8%,06/30,5.5k,S,value,90
CCC.L,COMPUTACENTER ,5.42B,5165.00,5511.73,6.7%,11.0,81%,11.0,+3,A,5.4%,1.0,91,Y,35.4,20.2,0.6,--,1.33%,--,--,--,18.3,22.5,4.1%,09/08,5.5k,H,value,90
FDN,FIRST TRUST DO,5.41B,287.61,--,--,--,--,--,--,,--,--,97,Y,24.7,--,--,--,--,--,--,--,--,--,--,--,5k,I,--,30
NHC.AX,NEW HOPE CORPO,5.41B,6.41,5.46,-14.7%,7.0,14%,7.0,0,A,-2.1%,-0.5,99,Y,35.6,15.8,0.9,--,3.12%,--,--,51.88,5.8,14.7,0.8%,--,5k,H,--,30
SIGI,SELECTIVE INSU,5.41B,90.90,102.86,13.2%,8.0,29%,7.0,-1,E,3.8%,0.3,91,Y,11.3,10.4,0.6,--,1.87%,4.1%,12.2,--,14.2,24.6,25.0%,06/30,5.5k,S,value,90
NIQ,NIQ GLOBAL INT,5.41B,18.34,19.69,7.4%,14,89%,9,0,E,6.6%,--,93,Y,--,14.2,0.7,--,--,--,84.6,--,--,--,--,06/30,5.5k,H,value,90
WPP,WPP PLC,5.41B,25.06,20.80,-17.0%,3,--,3,0,A,-0.0,0.7,90,Y,--,7.2,0.5,--,3.99%,0.9%,--,--,-6.6,257.6,13.8%,08/06,5k,I,--,30
KLAR,KLARNA GROUP P,5.41B,14.26,20.07,40.7%,23,39%,28,-3,E,16.0%,--,30,N,--,17.9,1.1,0.1,--,11.5%,90.4,--,-4.3,65.7,14.8%,03/31,6.5k,S,value,90
BIRK,BIRKENSTOCK HO,5.39B,32.62,53.00,62.5%,22,80%,10,-1,E,50.0%,1.3,64,N,15.4,11.7,0.5,1.0,--,11.2%,16.7,-31.14,12.4,69.0,2.9%,06/30,7.5k,H,value,90
BLSH,BULLISH,5.39B,35.53,38.89,9.5%,10,33%,3,0,E,3.2%,--,47,Y,--,50.8,1.5,--,--,16.6%,-1568.7,--,-57.1,21.1,-7.6%,06/30,5.5k,I,--,30
ALLFG.AS,ALLFUNDS GROUP,5.39B,8.99,8.87,-1.4%,8,25%,8,0,A,-0.3%,1.0,98,Y,128.5,16.4,1.0,1.6,2.19%,--,--,--,2.2,0.8,1.5%,07/30,5k,S,value,90
EXLS,EXLSERVICE HOL,5.39B,35.52,44.62,25.6%,9,100%,4,+1,E,25.6%,0.8,80,Y,22.5,13.7,0.4,1.0,--,8.1%,10.9,--,25.9,56.6,4.9%,06/30,7k,H,value,90
MUR,MURPHY OIL COR,5.39B,37.58,39.57,5.3%,16.0,12%,8.0,0,E,0.7%,0.5,87,Y,18.6,11.5,0.6,--,3.84%,10.7%,9494.7,57.02,6.5,41.9,6.4%,06/30,5k,S,value,90
HVN.AX,HARVEY NORMAN ,5.38B,4.32,4.61,6.7%,13.0,23%,13.0,0,A,1.5%,0.7,56,N,10.3,12.0,0.5,--,6.02%,--,--,-38.11,11.0,52.3,10.1%,08/28,5k,S,value,90
OZK,BANK OZK,5.37B,49.26,54.67,11.0%,10.0,--,6.0,-1,E,0.0,0.9,92,Y,8.1,8.2,0.5,--,3.69%,15.6%,-9.3,--,11.3,--,--,06/30,5k,S,value,90
GXO,"GXO LOGISTICS,",5.36B,46.71,68.71,47.1%,17,100%,6,+2,E,47.1%,1.5,70,N,41.3,13.2,0.5,1.2,--,6.6%,-57.6,--,4.5,202.5,6.4%,06/30,7.5k,H,value,90
ACMR,"ACM RESEARCH, ",5.36B,76.91,117.75,53.1%,9,100%,1,+1,E,53.1%,2.0,60,Y,36.3,26.6,0.8,--,--,6.1%,147.9,--,11.6,14.5,-3.5%,06/30,7.5k,I,--,30
ENH.OL,SED ENERGY HOL,5.35B,7.32,10.17,38.9%,3,66%,3,-1,A,25.7%,--,71,N,7.9,7.8,0.4,--,16.49%,--,229.8,--,22.2,21.3,1.5%,06/30,7k,I,--,30
KVYO,"KLAVIYO, INC.",5.35B,17.89,26.65,49.0%,22.0,87%,15.0,-2,E,42.4%,0.6,49,N,596.3,16.9,0.5,--,--,20.7%,-1977.2,-44.35,0.7,11.8,5.3%,06/30,7.5k,H,value,90
SAIC,SCIENCE APPLIC,5.34B,127.55,132.70,4.0%,11,17%,6,0,E,0.7%,0.3,89,Y,14.9,11.1,0.3,--,1.17%,7.2%,30.8,--,25.7,188.4,9.5%,07/31,5k,S,value,90
PSMT,"PRICESMART, IN",5.34B,172.97,166.00,-4.0%,3.0,33%,3.0,0,A,-1.3%,0.8,87,Y,33.2,27.0,1.1,--,0.80%,11.4%,25.8,--,12.3,24.0,1.1%,05/31,5k,I,--,30
MTRN,MATERION CORPO,5.33B,255.69,303.75,18.8%,5,100%,2,+1,E,18.8%,1.1,84,Y,59.5,30.3,1.2,--,0.24%,3.3%,52.5,--,9.5,51.4,0.3%,06/30,6.5k,I,--,30
CAKE,THE CHEESECAKE,5.33B,107.21,93.93,-12.4%,19.0,21%,19.0,-2,A,-2.6%,1.0,91,Y,29.1,21.6,0.9,1.9,1.11%,35.4%,114.4,--,38.8,401.0,3.1%,06/30,5k,S,value,90
SBRA,SABRA HEALTH C,5.32B,20.81,22.79,9.5%,16,33%,9,+1,E,3.2%,0.6,91,Y,80.0,25.7,0.8,--,5.78%,13.2%,-211.8,--,2.4,95.7,2.9%,06/30,5.5k,S,value,90
VSNT,VERSANT MEDIA ,5.32B,38.25,45.67,19.4%,7,--,1,0,E,0.0,--,65,Y,7.0,6.4,0.4,0.6,3.89%,4.2%,-42.5,--,8.1,38.9,37.2%,06/30,5k,I,--,30
SHC,SOTERA HEALTH ,5.31B,18.59,22.72,22.2%,10,75%,4,0,E,16.7%,1.8,94,Y,32.6,17.3,0.6,--,--,4.9%,10.8,--,27.8,340.7,2.9%,06/30,6.5k,H,value,90
MAIN,MAIN STREET CA,5.30B,56.66,59.50,5.0%,7.0,--,2.0,0,E,0.0,0.7,84,Y,11.4,14.6,0.9,--,5.51%,10.4%,19.3,--,14.9,80.3,4.7%,06/30,5k,I,--,30
CRSP,CRISPR THERAPE,5.30B,54.78,87.56,59.8%,22.0,100%,6.0,-2,E,59.8%,1.8,70,Y,--,-15.7,--,--,--,22.2%,14.4,--,-26.1,44.9,-4.1%,06/30,7.5k,H,value,90
CPA,"COPA HOLDINGS,",5.30B,129.84,178.73,37.7%,15,100%,3,0,E,37.7%,1.0,81,N,8.5,6.7,0.2,--,5.17%,4.7%,-60.7,--,23.1,89.3,-0.6%,06/30,7.5k,I,--,30
XMTR,"XOMETRY, INC.",5.30B,92.45,110.30,19.3%,11.0,50%,6.0,+3,E,9.7%,1.3,87,Y,--,71.8,2.5,--,--,7.5%,54.2,--,-7.1,57.0,-0.2%,06/30,6k,H,value,90
GVA,GRANITE CONSTR,5.29B,119.08,171.67,44.2%,5,33%,3,0,E,14.7%,1.3,73,N,--,14.9,0.5,0.1,0.44%,13.6%,-370.2,--,-14.5,215.1,18.1%,06/30,6k,I,--,30
RGTI,RIGETTI COMPUT,5.28B,15.81,28.81,82.2%,13.0,100%,1.0,0,E,82.2%,2.0,27,N,--,-76.7,--,--,--,17.7%,73.8,--,-43.8,1.4,0.5%,06/30,7.5k,I,--,30
GRFS,"GRIFOLS, S.A.",5.27B,7.75,10.87,40.2%,2.0,50%,2.0,0,A,20.1%,1.2,76,N,10.1,5.4,0.2,--,3.61%,--,32.5,--,6.9,117.2,10.9%,06/30,6.5k,I,--,30
SOL.MI,SOL S.P.A.,5.27B,58.10,61.62,6.1%,4.0,100%,4.0,0,A,6.1%,0.4,91,Y,31.6,26.2,1.1,--,0.78%,--,--,--,15.5,67.3,0.7%,06/30,5.5k,H,--,30
ADT,ADT INC.,5.27B,7.22,8.23,14.0%,6.0,--,1.0,0,E,0.0,1.0,81,N,10.0,7.3,0.3,--,2.95%,6.1%,8.1,--,17.2,223.9,22.7%,06/30,5k,I,--,30
VALMT.HE,VALMET OYJ,5.26B,28.56,31.02,8.6%,6.0,50%,6.0,0,A,4.3%,1.1,92,Y,17.5,12.1,0.4,--,4.75%,--,167.9,--,12.3,63.2,5.3%,06/30,5.5k,H,value,90
TE.PA,TECHNIP ENERGI,5.26B,30.38,40.47,33.2%,17.0,52%,17.0,-1,A,17.3%,0.6,71,N,20.0,10.0,0.6,--,3.25%,--,-4.4,--,12.6,78.8,17.6%,03/31,6.5k,H,value,90
AIR,AAR CORP.,5.26B,130.73,145.20,11.1%,7.0,67%,3.0,0,E,7.4%,1.1,85,Y,26.9,20.0,0.7,--,--,3.5%,47.4,--,12.9,59.4,-1.0%,05/31,5.5k,I,--,30
SIL,GLOBAL X SILVE,5.26B,98.50,--,--,--,--,--,--,,--,--,83,Y,18.8,--,--,--,1.04%,--,--,--,--,--,--,--,5k,I,--,30
KRMN,KARMAN HOLDING,5.26B,39.69,87.10,119.5%,11,88%,8,0,E,104.5%,--,34,N,147.0,42.0,1.5,--,--,9.7%,83.6,--,9.5,207.9,-1.1%,06/30,7.5k,H,value,90
RELY,REMITLY GLOBAL,5.26B,24.83,32.33,30.2%,10,100%,6,0,E,30.2%,0.4,90,Y,17.9,15.4,0.5,--,--,7.2%,2232.2,--,32.2,3.4,3.7%,06/30,7.5k,B,value,90
PI,"IMPINJ, INC.",5.25B,171.82,180.89,5.3%,9.0,100%,4.0,+1,E,5.3%,1.9,70,Y,--,61.3,1.8,--,--,14.2%,195.4,--,-12.9,115.1,1.1%,06/30,5.5k,H,value,90
PRM,PERIMETER SOLU,5.25B,32.05,43.75,36.5%,4.0,100%,2.0,+1,E,36.5%,1.9,84,Y,--,17.5,0.7,--,--,4.8%,-100.3,--,-30.9,135.0,1.1%,06/30,7.5k,I,--,30
ACIW,"ACI WORLDWIDE,",5.25B,51.98,67.33,29.5%,4.0,100%,3.0,0,E,29.5%,1.0,85,Y,23.8,13.4,0.4,--,--,8.6%,-65.2,--,15.6,57.7,5.0%,06/30,7.5k,I,--,30
GLNG,GOLAR LNG LIMI,5.25B,51.46,63.94,24.3%,9,100%,1,+1,E,24.3%,0.0,89,Y,35.2,101.9,5.7,--,1.92%,9.0%,-54.2,--,10.1,122.3,-7.3%,06/30,7k,I,--,30
SPX.L,SPIRAX GROUP P,5.24B,7100.00,8278.53,16.6%,17.0,58%,17.0,+1,A,9.6%,1.1,88,Y,26.4,19.7,0.7,1.3,2.46%,--,--,--,16.6,86.8,3.1%,08/11,6k,H,value,90
PDN.AX,PALADIN ENERGY,5.24B,11.65,12.88,10.6%,16,68%,16,+2,A,7.2%,1.4,77,Y,582.5,33.0,1.8,--,--,--,--,41.53,-1.0,17.3,0.1%,08/26,5.5k,H,value,90
GTX,GARRETT MOTION,5.24B,27.99,37.17,32.8%,6,100%,4,+1,E,32.8%,0.8,77,Y,15.4,12.2,0.5,--,1.14%,2.2%,31.2,--,--,--,5.9%,06/30,7.5k,H,value,90
EVN.VI,EVN AG,5.24B,29.40,33.12,12.7%,4,75%,4,0,A,9.5%,0.6,97,Y,10.4,11.9,0.6,--,3.11%,--,1717.9,--,8.1,17.7,1.0%,06/30,6k,H,value,90
AKVA.OL,AKVA GROUP ASA,5.24B,143.50,147.50,2.8%,2,--,2,0,A,0.0,0.0,96,Y,24.0,17.2,0.6,--,1.39%,--,6.5,--,15.7,118.2,0.9%,06/30,5k,I,--,30
SOI.PA,SOITEC SA,5.23B,146.35,142.95,-2.3%,19.0,42%,19.0,+2,A,-1.0%,1.9,73,Y,--,44.7,1.3,18.1,--,--,--,--,-15.2,46.7,0.4%,11/14,5k,S,value,90
SAEU.L,ISHARES MSCI E,5.23B,9.52,--,--,--,--,--,--,,--,--,98,Y,--,--,--,--,--,--,--,--,--,--,--,--,5k,I,--,30
SDUE.L,ISHARES MSCI E,5.23B,7.75,--,--,--,--,--,--,,--,--,96,Y,--,--,--,--,--,--,--,--,--,--,--,--,5k,I,--,30
MMSI,MERIT MEDICAL ,5.22B,87.38,101.45,16.1%,11.0,75%,8.0,0,E,12.1%,0.5,92,Y,36.0,18.9,0.6,1.6,--,7.8%,39.8,--,9.2,48.8,3.3%,06/30,6k,H,value,90
2B76.DE,ISHARES AUTOMA,5.22B,18.37,--,--,--,--,--,--,,--,--,95,Y,--,--,--,--,--,--,--,--,--,--,--,--,5k,I,--,30
VRNS,VARONIS SYSTEM,5.22B,45.46,50.68,11.5%,24.0,88%,17.0,0,E,10.1%,0.8,71,Y,--,110.1,3.3,--,--,7.4%,-56.3,--,-36.0,118.9,2.7%,06/30,6k,H,value,90
NDIA.L,ISHARES MSCI I,5.22B,8.77,--,--,--,--,--,--,,--,--,84,N,22.4,--,--,--,--,--,--,--,--,--,--,--,5k,I,--,30
NXST,NEXSTAR MEDIA ,5.21B,169.15,246.75,45.9%,8.0,100%,1.0,-1,E,45.9%,0.9,67,N,32.0,7.3,0.5,0.3,4.21%,11.7%,71.4,--,7.4,533.8,15.4%,06/30,7.5k,I,--,30
EMXC.L,AMUNDI MSCI EM,5.20B,49.09,--,--,--,--,--,--,,--,--,95,Y,19.9,--,--,--,--,--,--,--,--,--,--,--,5k,I,--,30
MWH,"SOLV ENERGY, I",5.19B,25.66,45.45,77.1%,11.0,100%,2.0,0,E,77.1%,--,53,N,43.5,14.2,0.7,--,--,17.9%,-3.3,--,--,9.8,--,06/30,7.5k,I,--,30
WH,WYNDHAM HOTELS,5.19B,69.87,97.76,39.9%,17.0,67%,6.0,0,E,26.6%,0.6,77,N,25.3,13.1,0.5,0.5,2.40%,10.3%,-2.9,--,39.4,557.3,7.0%,06/30,7k,H,value,90
G24.DE,SCOUT24 SE,5.19B,74.55,105.85,42.0%,19.0,89%,19.0,0,A,37.4%,0.6,65,N,18.8,15.5,1.0,--,1.99%,--,61.9,--,22.8,59.5,5.1%,06/30,7.5k,H,value,90
VFC,V.F. CORPORATI,5.19B,13.20,18.77,42.2%,23.0,25%,8.0,0,E,10.6%,1.0,59,N,19.1,9.8,0.4,0.3,2.68%,8.3%,-151.2,-11.51,22.1,280.7,15.1%,06/30,6k,S,value,90
LBRDA,LIBERTY BROADB,5.18B,35.99,--,--,28.0,89%,28.0,--,A,--,0.6,55,N,--,6.1,0.4,--,--,3.1%,-933.3,-40.22,-68.4,37.9,-0.7%,06/30,5k,H,--,30
FNGA,MICROSECTORS F,5.18B,433.90,--,--,--,--,--,--,,--,--,62,N,37.4,--,--,--,--,--,--,--,--,--,--,--,5k,I,--,30
WDP.BR,WAREHOUSES DE ,5.18B,21.42,26.65,24.4%,15,80%,15,+1,A,19.5%,1.0,82,N,12.5,12.6,0.4,--,5.79%,--,-15.2,--,8.2,76.3,3.7%,06/30,6.5k,H,value,90
AIA,ISHARES ASIA 5,5.16B,144.09,--,--,--,--,--,--,,--,--,96,Y,14.6,--,--,--,0.90%,--,--,--,--,--,--,--,5k,I,--,30
BULL,WEBULL CORPORA,5.16B,9.57,13.00,35.8%,4,75%,4,0,A,26.9%,0.6,60,Y,15.7,30.4,0.9,--,--,6.2%,-34.0,--,4.7,7.5,--,06/30,7k,H,value,90
CBU0.L,ISHARES VII PL,5.14B,152.38,--,--,--,--,--,--,,--,--,96,N,--,--,--,--,--,--,--,--,--,--,--,--,5k,I,--,30
INSW,INTERNATIONAL ,5.14B,103.81,102.17,-1.6%,6.0,100%,1.0,0,E,-1.6%,-0.1,97,Y,6.6,16.5,0.9,--,7.83%,7.8%,318.1,--,37.4,28.8,1.4%,06/30,5k,I,--,30
DFTX,DEFINIUM THERA,5.14B,38.23,67.47,76.5%,18.0,100%,13.0,+2,E,76.5%,2.2,77,Y,--,-20.4,--,--,--,6.7%,-136.4,--,-64.1,4.0,0.1%,06/30,7.5k,H,value,90
GNR,STATE STREET S,5.14B,79.40,--,--,--,--,--,--,,--,--,99,Y,16.8,--,--,--,2.34%,--,--,--,--,--,--,--,5k,I,--,30
ENPH,ENPHASE ENERGY,5.13B,38.83,53.23,37.1%,30.0,25%,12.0,+1,E,9.3%,1.6,53,N,38.4,17.1,0.5,0.8,--,19.6%,-45.9,--,13.0,51.9,1.5%,06/30,6k,S,value,90
BETA,BETA TECHNOLOG,5.13B,21.14,32.00,51.4%,8.0,100%,3.0,0,E,51.4%,--,54,Y,--,-9.4,--,--,--,5.8%,66.0,--,-89.9,12.8,-6.0%,06/30,7.5k,I,--,30
SPHR,SPHERE ENTERTA,5.11B,142.41,179.92,26.3%,13.0,100%,9.0,+1,E,26.3%,1.6,78,Y,--,-69.5,--,--,--,32.5%,62.1,--,-3.1,41.0,8.7%,06/30,7k,H,value,90
MRP,MILLROSE PROPE,5.11B,30.78,37.17,20.7%,6.0,100%,6.0,+1,A,20.7%,--,87,Y,10.7,9.5,0.3,--,9.62%,5.0%,11.6,--,8.1,42.6,-27.0%,06/30,6.5k,H,value,90
CNO,CNO FINANCIAL ,5.11B,55.18,53.75,-2.6%,5,--,5,-1,E,-0.0,0.8,96,Y,19.0,11.0,0.7,--,1.27%,0.0%,445.0,42.51,10.9,175.7,19.5%,06/30,5k,S,value,90
ZGN,ERMENEGILDO ZE,5.10B,12.03,14.69,22.1%,12.0,100%,2.0,0,E,22.1%,0.9,75,Y,34.4,19.3,0.8,--,1.09%,6.1%,--,--,8.7,105.4,5.6%,09/03,7k,I,--,30
KWEB,KRANESHARES CS,5.10B,25.36,--,--,--,--,--,--,,--,--,58,N,12.8,--,--,--,8.01%,--,--,--,--,--,--,--,5k,I,--,30
FND,FLOOR & DECOR ,5.10B,47.92,58.59,22.3%,23.0,43%,7.0,0,E,9.5%,1.6,52,N,22.4,21.7,0.9,--,--,13.6%,67.4,--,9.7,80.6,2.7%,06/30,6k,S,value,90
ELMRA.OL,ELMERA GROUP A,5.10B,46.65,40.67,-12.8%,3.0,33%,3.0,0,A,-4.2%,0.7,99,Y,25.9,15.0,0.8,--,4.29%,--,233.3,--,14.9,109.7,16.5%,06/30,5k,I,--,30
EAGG,ISHARES ESG U.,5.09B,46.41,--,--,--,--,--,--,,--,--,95,N,--,--,--,--,4.07%,--,--,--,--,--,--,--,5k,I,--,30
ISTB,ISHARES CORE 1,5.09B,47.77,--,--,--,--,--,--,,--,--,97,N,10.9,--,--,--,4.28%,--,--,--,--,--,--,--,5k,I,--,30
MC,MOELIS & COMPA,5.09B,68.77,72.00,4.7%,11.0,33%,3.0,0,E,1.6%,1.8,88,Y,24.0,17.5,1.1,--,3.77%,7.5%,-8.9,--,41.5,41.0,--,06/30,5k,I,--,30
VK.PA,VALLOUREC S.A.,5.08B,19.10,25.70,34.6%,11.0,72%,11.0,0,A,24.9%,0.4,69,N,14.3,9.5,0.4,--,9.35%,--,-70.9,--,15.8,36.4,11.2%,06/30,7k,H,value,90
OGS,"ONE GAS, INC.",5.08B,80.75,89.56,10.9%,9,50%,6,+1,E,5.5%,0.7,89,N,17.4,16.0,0.8,--,3.41%,7.6%,76.9,--,8.6,95.9,-4.3%,06/30,5.5k,H,value,90
PSN,PARSONS CORPOR,5.08B,47.59,59.36,24.7%,14.0,88%,8.0,+2,E,21.6%,0.7,53,N,32.8,13.9,0.4,--,--,14.4%,-123.7,--,8.2,59.9,4.2%,06/30,7k,H,value,90
IRDM,IRIDIUM COMMUN,5.07B,47.80,42.00,-12.1%,8.0,--,1.0,+1,E,-0.0,0.9,84,Y,54.9,27.9,1.8,1.8,1.27%,3.2%,-73.9,--,19.7,378.7,4.7%,06/30,5k,I,--,30
OUT,OUTFRONT MEDIA,5.07B,28.81,38.00,31.9%,7.0,100%,2.0,0,E,31.9%,1.5,82,Y,20.7,19.0,0.6,0.4,4.25%,7.8%,51.5,--,35.0,573.6,3.8%,06/30,7.5k,I,--,30
MMYT,MAKEMYTRIP LIM,5.07B,53.90,75.40,39.9%,10.0,100%,1.0,-1,E,39.9%,1.0,52,N,234.3,21.7,0.9,--,--,15.5%,248.7,--,2868.7,--,0.8%,06/30,7.5k,I,--,30
HASI,HA SUSTAINABLE,5.06B,39.37,49.79,26.5%,16.0,75%,4.0,-1,E,19.8%,1.4,89,Y,60.6,11.8,0.7,1.2,4.43%,13.6%,54.5,--,3.4,222.7,--,06/30,6.5k,H,value,90
OTF,BLUE OWL TECHN,5.04B,11.00,13.61,23.7%,9,50%,2,0,E,11.9%,--,70,N,13.4,8.0,0.5,--,12.30%,1.2%,-23.5,--,4.8,94.9,8.4%,06/30,6k,I,--,30
OII,OCEANEERING IN,5.04B,50.68,46.00,-9.2%,4.0,--,2.0,0,E,-0.0,1.2,93,Y,14.6,21.8,1.2,--,--,8.6%,-8.8,--,34.6,70.3,4.7%,06/30,5k,I,--,30
FBIN,FORTUNE BRANDS,5.03B,42.19,57.27,35.7%,18.0,55%,11.0,+3,E,19.5%,1.4,65,N,34.0,12.2,0.4,1.5,2.41%,6.2%,-131.8,-26.48,6.4,121.3,5.9%,06/30,6.5k,H,value,90
ELIS.PA,ELIS SA,5.02B,23.38,29.82,27.5%,16.0,93%,16.0,0,A,25.6%,1.2,82,N,15.3,10.7,0.4,--,1.14%,--,--,--,10.7,138.7,7.0%,07/29,7k,H,value,90
MRCY,MERCURY SYSTEM,5.02B,83.46,115.78,38.7%,10.0,86%,7.0,+1,E,33.2%,1.0,65,N,--,37.3,1.3,--,--,9.6%,106.4,--,-2.0,33.6,2.1%,06/30,7.5k,H,value,90
EZJ.L,EASYJET PLC,5.01B,670.60,656.23,-2.1%,13.0,7%,13.0,-3,A,-0.1%,1.7,98,Y,12.4,17.9,0.6,3.1,1.97%,--,--,--,13.1,82.4,-16.2%,--,5k,S,value,90
ALW.L,ALLIANCE WITAN,5.01B,1361.00,--,--,2.0,50%,2.0,--,A,--,--,98,Y,8.6,--,--,--,--,--,--,--,--,--,--,07/31,5k,I,--,30
BMA,BANCO MACRO S.,5.01B,78.30,112.42,43.6%,9.0,88%,9.0,-1,A,38.3%,0.4,74,N,19.8,6.9,0.4,--,6.77%,2.3%,3.5,--,5.4,--,--,06/30,7.5k,H,value,90
DEC.PA,JCDECAUX SE,5.01B,23.54,25.80,9.6%,13.0,69%,13.0,0,A,6.6%,1.0,94,Y,15.4,15.0,1.0,--,2.75%,--,--,--,16.1,161.1,17.2%,07/30,5.5k,H,value,90
LAUR,LAUREATE EDUCA,5.01B,36.38,41.21,13.3%,7.0,--,1.0,0,E,0.0,0.4,89,Y,16.5,15.0,0.6,1.0,--,3.2%,297.6,--,29.3,64.3,6.9%,06/30,5k,I,--,30
GOLF,ACUSHNET HOLDI,5.01B,85.79,102.00,18.9%,7.0,--,7.0,0,A,0.0,0.8,72,N,23.3,19.8,0.8,--,1.17%,13.1%,157.3,--,25.2,117.2,0.9%,06/30,5k,S,value,90
GFC.PA,GECINA,4.99B,67.45,88.55,31.3%,17.0,70%,17.0,0,A,21.9%,1.1,78,N,30.9,10.1,0.3,--,8.15%,--,--,--,1.6,69.7,10.1%,03/31,3.5k,H,value,90
UNF,UNIFIRST CORPO,4.99B,275.66,273.33,-0.8%,5,--,5,0,A,-0.0,0.6,90,Y,43.5,34.5,1.2,--,0.53%,7.4%,-51.5,--,5.3,3.9,2.0%,05/31,2.5k,I,--,30
CSUS.L,ISHARES VII PL,4.98B,798.80,--,--,--,--,--,--,,--,--,98,Y,26.2,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
SXR4.DE,ISHARES VII PL,4.98B,686.58,--,--,--,--,--,--,,--,--,98,Y,--,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
EBC,EASTERN BANKSH,4.97B,21.74,25.12,15.6%,8,100%,4,-1,E,15.6%,0.7,91,Y,12.1,10.2,0.6,--,2.52%,6.9%,-0.9,--,9.4,--,--,06/30,3k,I,--,30
BOUV.OL,BOUVET ASA,4.97B,48.60,50.00,2.9%,2.0,--,2.0,-1,A,0.0,0.4,71,N,15.1,13.3,0.4,--,6.09%,--,32.6,--,114.4,119.8,3.3%,06/30,2.5k,I,--,30
